Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
44,312.0,358,472.0,334,387.0,374,332,146.0,124,397.0,403
265,384.0,133,127.0,492,208.0,334,472,226.0,215,140.0,217
0,202.0,309,3.0,493,193.0,329,59,446.0,257,268.0,251
500,119.0,389,258.0,270,153.0,496,209,306.0,100,148.0,375
187,473.0,97,323.0,289,84.0,54,257,393.0,22,218.0,135
306,371.0,407,337.0,206,104.0,394,325,189.0,156,465.0,443
342,209.0,294,36.0,278,165.0,230,328,175.0,253,193.0,308
498,383.0,462,374.0,282,363.0,177,385,275.0,102,164.0,77
68,184.0,249,203.0,326,474.0,66,306,151.0,122,97.0,420
58,200.0,257,58.0,220,57.0,358,302,318.0,102,368.0,256
233,90.0,2,30.0,195,497.0,307,280,76.0,356,231.0,212
389,236.0,68,482.0,45,346.0,468,478,14.0,31,302.0,433
166,412.0,371,81.0,358,475.0,138,224,17.0,276,402.0,192
17,315.0,284,92.0,496,259.0,300,208,79.0,207,177.0,276
427,126.0,30,163.0,22,347.0,166,274,344.0,237,77.0,374
353,481.0,356,249.0,86,390.0,429,304,470.0,196,199.0,64
268,58.0,253,125.0,209,490.0,475,152,110.0,154,200.0,97
11,246.0,269,214.0,125,103.0,68,81,24.0,491,340.0,96
45,468.0,465,442.0,490,318.0,500,457,125.0,288,471.0,211
283,268.0,45,342.0,500,403.0,83,90,306.0,450,110.0,393
414,60.0,6,428.0,370,253.0,144,74,500.0,125,23.0,237
462,249.0,101,35.0,92,450.0,165,361,112.0,323,304.0,177
20,403.0,114,253.0,361,476.0,412,500,209.0,199,216.0,154
251,192.0,132,236.0,490,43.0,422,488,10.0,443,250.0,279
96,326.0,349,233.0,314,290.0,196,454,359.0,344,356.0,290
55,106.0,78,233.0,173,369.0,318,469,32.0,242,193.0,364
71,467.0,499,310.0,204,79.0,38,314,239.0,347,394.0,111
15,462.0,333,487.0,339,459.0,122,330,84.0,418,219.0,46
300,,272,297.0,486,304.0,330,110,452.0,112,200.0,371
325,,388,317.0,302,152.0,425,241,243.0,394,41.0,293
166,,18,,67,,186,137,,269,,277
